date,close,diff,open,high,low,volume,Fluctuation,MA20,MA60,MA120,MA20P,MA60P,MA120P,ATR,slowk,slowd,RSI,ADX,macd,macdsignal,macdhist,aroondown,aroonup,MOM,VAR,WILLR
2017-03-16 00:00:00,167000,500,168000,169000,165500,60113,0.002998503,169025,179608.3333,179145.8333,0.988019524,0.929800956,0.932201419,4538.03928,83.26797386,84.60784314,41.61307477,27.13487269,-3629.906395,-4064.575198,434.668803,42.85714286,0,-12.10526316,2240000,-51.72413793
2017-03-17 00:00:00,167000,0,167500,168500,166000,99008,0,168625,179225,178941.6667,0.990363232,0.93178965,0.933265031,4470.104637,75.23378582,82.46354952,41.61307477,26.51903711,-3366.583228,-3924.976804,558.3935757,35.71428571,21.42857143,-12.79373368,140000,-51.72413793
2017-03-20 00:00:00,161000,6000,168000,168000,158000,178228,-0.036589447,167925,178783.3333,178712.5,0.958761352,0.900531369,0.900888298,4654.434482,57.65802825,72.05326264,32.6217058,27.61735162,-3600.542762,-3860.089996,259.5472337,100,14.28571429,-14.58885942,5860000,-81.81818182
2017-03-21 00:00:00,163500,2500,161500,167000,161000,119766,0.015408625,167375,178416.6667,178487.5,0.976848394,0.916394208,0.916030534,4699.286666,48.83449883,60.57543763,38.57696572,28.6372151,-3543.382365,-3796.74847,253.3661045,92.85714286,7.142857143,-14.17322835,5700000,-66.66666667
2017-03-22 00:00:00,161500,2000,163000,164500,160500,116980,-0.012307848,166575,178050,178258.3333,0.969533243,0.907048582,0.9059885,4675.977111,36.36363636,47.61872115,35.84728619,29.66879613,-3617.762312,-3760.951238,143.188926,85.71428571,0,-14.55026455,6700000,-68.18181818
2017-03-23 00:00:00,164500,3000,162000,165500,161500,87679,0.018405428,166075,177716.6667,178058.3333,0.990516333,0.925630686,0.923854542,4653.44454,47.90764791,44.36859437,42.4279708,30.19703879,-3395.492899,-3687.85957,292.3666709,78.57142857,64.28571429,-12.73209549,4700000,-40.90909091
2017-03-24 00:00:00,171500,7000,165000,172000,163500,152935,0.041672696,166075,177491.6667,177937.5,1.032665964,0.966242547,0.963821567,4781.663056,63.38383838,49.21837422,54.22658128,28.4615041,-2624.250563,-3475.137769,850.8872058,71.42857143,100,-7.795698925,14240000,-3.571428571
2017-03-27 00:00:00,175000,3500,173500,175500,170000,178965,0.020202707,166175,177341.6667,177829.1667,1.053106665,0.986795733,0.984090536,4805.607621,85,65.43049543,58.77570031,26.88830333,-1710.892601,-3122.288735,1411.396134,64.28571429,100,-6.914893617,26560000,-2.857142857
2017-03-28 00:00:00,175000,0,175000,177000,173500,80601,0,166325,177175,177750,1.052156922,0.987724002,0.984528833,4762.087367,93.65800866,80.68061568,58.77570031,25.76845546,-975.8014041,-2692.991269,1717.189865,57.14285714,100,-5.149051491,30700000,-10.52631579
2017-03-29 00:00:00,176000,1000,176000,176500,174500,91051,0.005698021,166500,176991.6667,177720.8333,1.057057057,0.9943971,0.990317211,4670.017788,92.69794721,90.45198529,60.0900076,24.72859672,-308.9829292,-2216.189601,1907.206672,50,92.85714286,-1.949860724,17940000,-5.263157895
2017-03-30 00:00:00,175500,500,175000,176000,173500,69017,-0.002844952,166900,176783.3333,177687.5,1.051527861,0.992740643,0.987689061,4597.683861,90.10535462,92.15377016,59.07584346,23.46154245,177.088331,-1737.534015,1914.622346,42.85714286,85.71428571,-2.228412256,2540000,-7.894736842
2017-03-31 00:00:00,174000,1500,174000,176000,174000,76221,-0.008583744,167425,176591.6667,177587.5,1.039271316,0.985323958,0.979798691,4511.094399,79.86004438,87.55444874,56.02117459,22.28499205,436.2371721,-1302.779777,1739.016949,35.71428571,78.57142857,-6.451612903,440000,-15.78947368
2017-04-03 00:00:00,177000,3000,174000,177500,173500,81215,0.017094433,168125,176458.3333,177529.1667,1.052788104,1.003069658,0.997019269,4494.057919,77.84391534,82.60310478,60.42828344,21.60393857,873.6188889,-867.5000441,1741.118933,28.57142857,100,-3.804347826,1000000,-2.564102564
2017-04-04 00:00:00,178500,1500,176500,180000,174500,87271,0.008438869,168850,176250,177487.5,1.057151318,1.012765957,1.005704627,4527.589322,73.85531136,77.18642369,62.45422057,21.59500095,1325.999221,-428.800191,1754.799412,21.42857143,100,-2.72479564,2260000,-6.818181818
2017-04-05 00:00:00,176500,2000,178500,179500,174500,80464,-0.011267725,169550,175983.3333,177454.1667,1.040990858,1.002935884,0.994623025,4543.336345,70.19230769,73.9638448,58.17742044,21.58670173,1505.772994,-41.88555395,1547.658548,14.28571429,92.85714286,-2.216066482,2260000,-15.90909091
2017-04-06 00:00:00,176000,500,175000,177000,173500,66671,-0.002836881,170225,175758.3333,177420.8333,1.033925687,1.001374994,0.991991733,4508.558466,53.84615385,65.96459096,57.12424118,21.19415644,1589.575546,284.4066661,1305.16888,7.142857143,85.71428571,-2.222222222,2140000,-18.18181818
2017-04-07 00:00:00,174500,1500,175500,178000,174000,46233,-0.008559253,170775,175500,177366.6667,1.021812326,0.994301994,0.983837625,4491.606518,33.33333333,52.45726496,53.96786324,21.10286743,1517.459876,531.017308,986.4425675,0,78.57142857,-3.591160221,1700000,-28.20512821
2017-04-10 00:00:00,173000,1500,173500,174000,171500,35383,-0.008633147,171050,175183.3333,177270.8333,1.011400175,0.987536866,0.975907862,4441.8863,23.83107089,37.00351936,50.93686655,20.08177385,1324.007884,689.6154232,634.392461,7.142857143,71.42857143,-6.233062331,3460000,-35.8974359
2017-04-11 00:00:00,171000,2000,172000,174000,169000,49484,-0.011628038,171225,174833.3333,177183.3333,0.99868594,0.978074357,0.96510206,4460.49009,17.35976442,24.84138955,47.13564555,18.96463642,997.8103652,751.2544116,246.5559536,0,64.28571429,-5.785123967,4060000,-48.64864865
2017-04-12 00:00:00,167500,3500,170000,171000,166000,72805,-0.020680205,171275,174458.3333,177012.5,0.977959422,0.960114641,0.946260857,4478.473754,16.39822596,19.19635376,41.3238022,18.74502929,451.669171,691.3373635,-239.6681925,0,57.14285714,-10.90425532,8740000,-75.75757576
2017-04-13 00:00:00,171500,4000,168000,172500,167500,69295,0.023599915,171500,174183.3333,176883.3333,1,0.984594776,0.969565627,4495.857962,25.79365079,19.85054706,49.05493591,18.03946381,337.7218631,620.6142634,-282.8924004,0,50,-8.288770053,5500000,-60.71428571
2017-04-14 00:00:00,172000,500,171000,174500,169500,40764,0.00291121,171750,173966.6667,176775,1.001455604,0.988695152,0.972988262,4512.662697,42.97385621,28.38857765,49.94279192,16.76180399,284.4842644,553.3882636,-268.9039992,85.71428571,42.85714286,-7.027027027,3500000,-57.14285714
2017-04-17 00:00:00,176000,4000,173500,177000,170000,76232,0.022989518,172500,173800,176716.6667,1.020289855,1.012658228,0.995944544,4595.57394,69.11021985,45.95924228,56.47753584,16.24955826,558.6202282,554.4346565,4.185571666,78.57142857,35.71428571,-3.825136612,7340000,-28.57142857
2017-04-18 00:00:00,184000,8000,178000,187500,177000,298834,0.044451763,173525,173700,176741.6667,1.060365942,1.05929764,1.041067471,4825.721476,81.73941881,64.60783162,66.02925767,17.74711231,1405.209713,724.5896678,680.6200451,71.42857143,100,1.657458564,31260000,-16.27906977
2017-04-19 00:00:00,182500,1500,183500,185000,182000,85068,-0.008185585,174575,173591.6667,176741.6667,1.045395962,1.051317748,1.032580508,4764.864093,83.21000705,78.0198819,63.22731723,19.13769821,1932.820167,966.2357677,966.5843995,64.28571429,92.85714286,0,27060000,-23.25581395
2017-04-20 00:00:00,189000,6500,183000,190500,183000,193736,0.034996842,175800,173641.6667,176804.1667,1.075085324,1.088448433,1.068979332,4872.701957,83.8593577,82.93626119,69.30568779,21.13107271,2842.682259,1341.525066,1501.157193,57.14285714,100,4.132231405,36160000,-6.12244898
2017-04-21 00:00:00,188500,500,191500,191500,186500,83250,-0.002649008,176650,173733.3333,176920.8333,1.0670818,1.084996163,1.065448294,4876.945225,84.6345515,83.90130541,68.36949443,23.09456817,3483.255895,1769.871232,1713.384663,50,100,8.022922636,22300000,-11.76470588
2017-04-24 00:00:00,187000,1500,187500,188500,185500,60644,-0.00798939,177250,173891.6667,177054.1667,1.055007052,1.075382182,1.056173958,4814.380384,82.62305724,83.70565548,65.5104986,24.58833108,3825.776483,2181.052282,1644.724201,42.85714286,92.85714286,9.356725146,6460000,-17.64705882
2017-04-25 00:00:00,188000,1000,188500,189500,186500,66283,0.005333346,177900,174016.6667,177258.3333,1.056773468,1.080356288,1.060598938,4753.901038,72.72330787,79.99363887,66.51577352,26.10475461,4130.306556,2570.903137,1559.403419,35.71428571,85.71428571,14.98470948,5500000,-13.7254902
2017-04-26 00:00:00,189000,1000,188000,190000,187500,71552,0.005305052,178550,174125,177425,1.058527023,1.085427136,1.065238833,4678.771003,67.57054909,74.30563807,67.53483464,27.57910983,4401.601553,2937.04282,1464.558733,28.57142857,78.57142857,11.83431953,560000,-9.803921569
2017-04-27 00:00:00,188500,500,191000,191000,184500,72138,-0.002649008,179200,174291.6667,177600,1.051897321,1.08152044,1.061373874,4739.478636,63.62966239,67.97450645,66.44594681,27.90425448,4524.107872,3254.45583,1269.652042,21.42857143,71.42857143,12.53731343,460000,-11.76470588
2017-04-28 00:00:00,187000,1500,186000,190000,186000,55589,-0.00798939,179850,174458.3333,177745.8333,1.039755352,1.071889181,1.052064043,4714.829349,55.39754363,62.1992517,63.15609372,28.2061745,4448.873702,3493.339405,955.534297,14.28571429,64.28571429,10.32448378,640000,-17.64705882
2017-05-02 00:00:00,187500,500,186000,188500,185000,58162,0.002670229,180375,174600,177854.1667,1.03950104,1.073883162,1.054234509,4674.335037,47.25274725,55.42665109,63.79950104,28.13663225,4379.116176,3670.494759,708.6214167,7.142857143,57.14285714,7.449856734,500000,-15.68627451
2017-05-04 00:00:00,189000,1500,187000,189500,187000,47699,0.00796817,180900,174683.3333,177991.6667,1.044776119,1.081957828,1.061847465,4601.857202,51.28205128,51.31078072,65.73282472,28.27160837,4394.216505,3815.239108,578.9773969,0,50,9.565217391,660000,-10.41666667
2017-05-08 00:00:00,203500,14500,193500,204500,193000,256846,0.07391899,182250,174958.3333,178254.1667,1.11659808,1.16313408,1.141628293,4965.128629,70.12820513,56.22100122,77.97697067,30.31015644,5512.665863,4154.724459,1357.941404,0,100,18.31395349,38940000,-2.857142857
2017-05-10 00:00:00,197500,6000,203500,205000,196500,159276,-0.029927421,183325,175208.3333,178512.5,1.077321696,1.127229489,1.1063651,5082.957675,75.57692308,65.66239316,67.26632133,32.24490923,5847.488968,4493.277361,1354.211607,0,100,18.61861862,42540000,-21.42857143
2017-05-11 00:00:00,201000,3500,199500,203000,196000,148497,0.017566324,184650,175625,178787.5,1.088545898,1.144483986,1.12423967,5146.859085,79.16666667,74.95726496,69.86648515,33.87971275,6322.378991,4859.097687,1463.281304,0,92.85714286,19.64285714,40860000,-14.28571429
2017-05-12 00:00:00,199000,2000,201000,201500,197500,51641,-0.010000083,185950,175933.3333,179037.5,1.070180156,1.131110269,1.111498988,5108.630449,69.72222222,74.82193732,66.61040845,35.39774458,6462.849761,5179.848102,1283.001659,0,85.71428571,17.75147929,24300000,-26.08695652
2017-05-15 00:00:00,200000,1000,200500,200500,197500,52996,0.005012542,187400,176258.3333,179204.1667,1.067235859,1.134698123,1.116045479,5038.342768,68.33333333,72.40740741,67.42779517,36.80734557,6579.026578,5459.683797,1119.342781,0,78.57142857,11.11111111,4060000,-22.72727273
2017-05-16 00:00:00,199000,1000,199500,200000,197000,76990,-0.005012542,188975,176600,179366.6667,1.053049345,1.126840317,1.109459208,4970.398009,52.77777778,63.61111111,65.69583076,37.92065716,6515.301559,5670.80735,844.4942098,0,71.42857143,10.86350975,1360000,-29.26829268
2017-05-17 00:00:00,204500,5500,200500,205500,198500,129761,0.027263151,190625,177050,179620.8333,1.072786885,1.155040949,1.13850936,5038.051408,60.38011696,60.49707602,70.22572961,39.54254487,6829.872538,5902.620387,927.2521509,28.57142857,100,17.52873563,4160000,-4.761904762
2017-05-18 00:00:00,201000,3500,202500,204500,200500,121290,-0.017263067,192075,177483.3333,179887.5,1.046466224,1.132500704,1.11736502,5003.449695,56.62194702,56.59328059,64.39794311,41.04858346,6719.295698,6065.955449,653.3402484,21.42857143,92.85714286,18.93491124,4160000,-21.42857143
2017-05-19 00:00:00,209000,8000,201500,212000,201500,153846,0.039029344,193725,178050,180233.3333,1.078848884,1.173827577,1.159607916,5203.334705,72.17750258,63.05985552,70.43692358,43.05106182,7194.264889,6291.617337,902.6475517,14.28571429,100,24.7761194,13360000,-10.90909091
2017-05-22 00:00:00,211000,2000,208500,215000,208500,129878,0.009523882,195075,178658.3333,180595.8333,1.081635268,1.181025234,1.168354752,5246.556881,68.2788671,65.69277224,71.72805064,45.09751361,7643.949983,6562.083866,1081.866117,7.142857143,100,25.97014925,20840000,-13.1147541
